time,Fp,Fc
10:11:08.169,115.2,114.996026174181
10:11:08.368,113.6,113.840259148453
10:11:08.558,113.6,113.748679601426
10:11:08.745,113.2,113.442307279154
10:11:08.930,111.6,112.021383597638
10:11:09.101,113.6,113.039873441031
10:11:09.240,112.8,112.043017416346
10:11:09.372,112.8,112.550078492398
10:11:09.527,114.0,113.551044463741
10:11:09.720,115.2,110.310244273201
10:11:09.921,115.2,112.031548820187
10:11:10.072,114.4,113.635047094921
10:11:10.213,112.8,109.420781423924
10:11:10.375,111.6,99.7048196025847
10:11:10.555,111.2,113.461555136585
10:11:18.023,115.2,110.761156661868
10:11:18.231,116.4,99.4429981840471
10:11:18.413,116.4,116.125887357923
10:11:18.612,115.6,115.384853982753
10:11:18.804,114.8,114.95614061405
10:11:19.185,116.8,106.993793004039
10:11:19.398,117.2,116.975089998738
10:11:19.592,115.6,115.1220879565
10:11:19.775,116.0,115.267631937987
10:11:19.953,116.0,113.314981064898
10:11:20.147,115.6,115.190860626146
10:11:20.984,113.2,108.127569924949
10:11:21.127,107.6,106.046630468464
10:11:21.181,116.0,86.1228247270382
10:11:21.296,112.4,112.37847732878
10:11:21.462,112.8,113.331706957655
10:11:21.629,114.8,117.088256808555
10:11:21.797,115.6,108.748756680205
10:11:21.965,13.6,60.4926971922505
10:11:22.463,115.2,107.857834857132
10:11:23.086,114.0,104.653587529017
10:11:23.277,113.6,113.05041454484
10:11:23.474,113.6,107.483806620846
10:11:23.671,114.0,113.554013059009
10:11:23.875,115.2,111.733668634607
10:11:40.937,114.4,116.532237326118
10:11:41.019,114.8,111.79580979425
10:11:41.113,114.8,101.972504728031
10:11:41.335,118.8,102.070132172089
10:11:41.462,119.2,109.700546447744
10:11:41.598,10.4,70.4035682219678
10:11:41.736,120.8,104.48203894266
10:11:48.555,112.8,110.26082189222
10:11:48.760,113.2,89.4092536565264
10:11:48.928,114.0,106.95305049519
10:11:49.092,115.2,112.814559975727
10:11:49.243,115.6,116.078033821611
10:11:49.396,119.2,118.994248496702
10:11:49.554,118.4,118.542507459281
10:11:49.682,117.6,117.162778792477
10:11:49.794,116.4,108.691221500356
10:11:49.929,112.0,94.1133181952486
10:11:50.071,114.0,82.6465489137505
10:11:50.254,115.2,93.2449363398017
10:11:50.427,114.0,106.987034888508
10:11:52.299,114.8,113.99547258129
10:11:52.453,115.6,114.178919586276
10:11:52.620,116.4,115.00343721859
10:11:52.794,117.2,112.324172583053
10:11:52.978,117.2,104.92666056337
10:11:54.443,114.0,112.873325241288
10:11:54.633,114.0,112.80042504486
10:11:54.836,114.0,109.066231884125
10:11:59.974,116.4,103.027574260146
10:12:00.146,115.2,114.053624482667
10:12:00.306,115.2,105.577668199221
10:12:00.450,116.0,80.6823701189505
10:12:00.753,117.6,112.874932874319
10:12:00.905,117.2,116.825452469574
10:12:01.048,117.6,117.683819284434
10:12:01.195,116.0,116.062762054833
10:12:02.115,114.0,111.111725378666
10:12:02.254,114.8,106.08958314936
10:12:04.908,117.6,114.143225586202
10:12:05.091,115.2,112.76307796685
10:12:05.286,116.8,109.368339593401
10:12:05.486,117.6,111.754789444324
10:12:05.907,118.0,116.028869205912
10:12:06.104,117.2,99.9469185796458
10:12:06.279,114.4,111.014887363388
10:12:06.452,114.4,114.363318650809
10:12:06.631,114.0,113.872383596768
10:12:06.799,113.6,113.735944589428
10:12:06.963,114.0,113.761820331086
10:12:07.135,112.8,114.396312781607
10:12:07.305,113.6,113.538473684856
10:12:07.474,113.2,112.89100612474
10:12:07.653,113.6,113.790258115675
10:12:07.838,116.0,112.880876493901
10:12:08.031,116.8,111.441483080854
10:12:08.465,120.4,90.6062855805187
10:12:08.493,121.6,113.058542068526
10:12:08.522,122.8,114.228422420015
10:12:08.551,122.4,119.921156278844
10:12:08.581,122.0,109.802761998852
10:12:08.612,122.0,120.929543570563
10:12:08.645,122.8,117.157420096594
10:12:08.679,122.0,114.763237975258
10:12:08.715,121.6,117.605616250465
10:12:08.751,122.0,121.02260313322
10:12:08.790,121.2,119.158564778564
10:12:08.831,121.6,115.390298720415
10:12:08.873,121.6,121.689411619958
10:12:08.914,121.2,119.098354791432
10:12:08.955,121.2,120.657723522409
10:12:08.998,121.6,120.40554553406
10:12:09.042,121.2,121.138469459827
10:12:20.499,118.0,116.001050001968
10:12:20.692,116.8,116.288976192976
10:12:21.025,114.8,108.397670285097
10:12:21.839,114.0,109.048897016153
10:12:22.003,116.0,115.297832275268
10:12:22.161,118.0,114.556338815981
10:12:29.393,114.0,114.337601443361
10:12:29.601,112.4,113.196973323298
10:12:29.809,110.4,104.799888250543
10:12:30.028,112.4,109.961776304181
10:12:55.891,118.0,119.413206197918
10:12:56.116,117.6,117.927025178784
10:12:56.354,121.2,121.191156363984
10:12:56.594,122.4,122.11021546658
10:12:57.255,116.8,117.533349926262
10:12:57.456,114.4,115.54811684582
10:12:57.646,116.0,116.661499813946
10:13:28.810,120.4,122.109617028629
10:13:28.926,120.4,123.456273676237
10:13:29.054,123.2,122.646789667794
10:13:29.188,122.4,122.141828842703
10:13:29.318,120.4,124.555162749612
10:13:29.438,121.6,123.4128721753
10:13:29.553,120.4,123.609842981303
10:13:29.665,121.2,123.7104329768
10:13:29.772,120.8,125.398301193968
10:13:29.879,120.8,125.155053173348
10:13:29.984,121.2,125.235320302754
10:13:30.091,120.4,124.95009598046
10:13:30.200,120.4,123.848066586863
10:13:30.320,120.4,125.535881639587
10:13:30.451,135.2,126.396439452525
10:13:30.581,120.8,126.308092412373
10:13:30.703,120.4,125.379406744841
10:13:30.819,120.8,125.467956604843
10:13:30.931,120.8,125.330854878119
10:13:31.039,120.4,125.268647618461
10:13:31.155,120.4,124.66879264358
10:13:31.308,120.8,125.008125431853
10:13:31.587,123.2,123.566460070679
10:13:31.828,122.8,124.421160959335
10:13:32.101,123.2,124.415694441163
10:13:32.350,123.2,124.08447554157
10:13:32.603,123.2,123.846077437722
10:13:32.886,123.6,125.339673491684
10:13:33.128,123.6,124.004226789726
10:13:33.337,123.2,123.273798659702
10:13:33.609,123.2,123.987569832614
10:13:33.856,123.6,123.782130025504
10:13:34.075,123.2,123.404296121165
10:13:34.331,123.6,123.691641860809
10:13:34.586,123.6,123.74310893514
10:13:40.384,124.4,123.775555316271
10:13:40.494,122.0,125.270019149806
10:13:40.602,124.4,123.697962878409
10:13:40.716,121.6,125.811625332962
10:13:40.833,122.0,125.908961445011
10:13:40.951,124.4,123.729494332295
10:13:41.063,123.6,124.070731491804
10:13:41.174,123.6,123.233426609556
10:13:41.288,124.4,123.571073810188
10:13:41.398,123.6,124.552866394815
10:13:41.505,123.6,124.273006976497
10:13:41.611,124.4,123.775382717339
10:13:41.718,123.6,124.411149797813
10:13:41.825,123.6,124.121605018655
10:13:41.933,123.6,124.230041259056
10:13:42.049,122.4,125.75266430974
10:13:42.172,123.6,125.12929311036
10:13:42.296,123.6,124.703826378444
10:13:42.417,124.0,123.257094039576
10:13:42.533,124.0,123.42479112968
10:13:42.644,121.6,124.909803066848
10:13:42.750,121.6,125.745321439787
10:13:42.852,121.6,125.919346729282
10:13:42.952,123.6,124.215544311525
10:13:43.051,118.8,124.854234518437
10:13:43.152,120.8,125.066120705594
10:13:43.264,121.2,124.552503988349
10:13:43.389,124.0,123.353250845455
10:13:43.522,124.0,123.353872188291
10:13:43.644,124.0,124.011640170201
10:13:43.751,124.4,123.551742457252
10:13:43.847,123.6,122.739017740724
10:13:43.935,123.2,125.395383999498
10:13:44.022,123.6,124.348354349825
10:13:44.108,122.8,122.245311436077
10:13:44.190,120.8,125.417462966035
10:13:44.283,121.2,124.73880401637
10:13:44.379,122.4,123.530492956464
10:13:44.476,121.2,124.735904593247
10:13:44.583,124.0,123.204554674868
10:13:44.695,124.0,124.264087248669
10:13:44.806,123.6,124.855588086187
10:13:44.909,122.0,124.955008520776
10:13:45.012,122.0,124.611847937355
10:13:45.114,123.6,124.531319808156
10:13:45.221,123.6,124.0707666206
10:13:45.332,122.0,126.424559028576
10:13:45.440,121.6,126.300253663984
10:13:45.544,123.6,124.563357565226
10:13:45.658,123.6,123.846941091029
10:13:45.784,123.6,124.932027344669
10:13:45.945,123.6,123.921644019779
10:13:46.145,122.0,125.255799995039
10:13:46.352,121.6,125.321360126386
10:13:46.547,121.6,124.956180951279
10:13:46.681,122.0,124.45368129176
10:13:46.792,121.6,124.455859398318
10:13:46.895,124.4,123.743179000106
10:13:46.996,124.4,123.631510170217
10:13:47.093,121.6,126.27579695426
10:13:47.188,123.6,125.492702277769
10:13:47.287,121.6,126.105808210547
10:13:47.390,122.0,126.339154235262
10:13:47.498,121.6,125.519428882331
10:13:47.604,121.6,126.209667054379
10:13:47.706,123.6,123.766010762974
10:13:47.811,123.6,124.010566933789
10:13:47.914,123.6,124.217577654283
10:13:48.018,121.6,124.26061192708
10:14:14.135,126.0,123.991924860327
10:14:14.232,133.6,124.779113110825
10:14:14.317,133.6,124.704815594023
10:14:14.320,135.6,127.835738031622
10:14:14.398,134.0,125.024873794871
10:14:14.486,133.6,125.328827324535
10:14:14.527,120.8,125.475626023597
10:14:14.576,133.6,124.556269376495
10:14:14.665,122.0,123.310656010306
10:14:14.745,120.8,125.557890632314
10:14:14.752,114.0,119.685671840751
10:14:14.829,114.4,122.693771224549
10:14:14.910,122.4,123.302877455686
10:14:14.982,121.2,126.03811427816
10:14:14.991,123.2,123.587556769991
10:14:15.072,133.2,124.626550037655
10:14:15.155,133.2,125.568450037619
10:14:15.214,121.2,125.91769697289
10:14:15.245,133.2,125.318161831938
10:14:15.357,133.6,125.085551850382
10:14:15.457,121.2,125.913357311653
10:14:15.515,132.0,126.445151774193
10:14:15.655,126.4,124.542676779788
10:14:15.697,120.8,125.422241932508
10:14:15.781,122.8,122.522794001737
10:14:15.876,119.2,119.597426825565
10:14:15.935,121.6,124.338970537232
10:14:15.963,116.0,117.811273874528
10:14:16.043,124.0,122.881198375484
10:14:16.043,124.0,122.881188429799
10:14:16.120,133.2,125.490824256419
10:14:16.173,121.6,124.889592670652
10:14:16.203,133.2,124.302670723011
10:14:16.285,128.4,124.390110425404
10:14:16.364,133.6,125.59755271797
10:14:16.432,121.2,122.93786265033
10:14:16.443,133.6,124.816929870665
10:14:16.519,133.6,124.400156036452
10:14:16.597,124.8,123.34788290317
10:14:16.677,126.4,123.144306912853
10:14:16.701,120.8,124.449271881173
10:14:16.757,133.6,124.134268779121
10:14:16.838,133.6,124.350256384881
10:14:16.920,132.0,126.707739054237
10:14:16.966,122.0,123.879350424036
10:14:17.016,134.0,126.558335299662
10:14:17.152,133.6,125.294094810686
10:14:17.227,120.0,122.338120467536
10:14:17.292,133.6,124.408356175148
10:14:30.318,135.6,126.469994716929
10:14:30.432,122.0,123.977356494976
10:14:30.527,124.0,124.782586109714
10:14:30.617,124.0,124.598893299414
10:14:30.709,124.4,125.249755969678
10:14:30.792,124.8,126.076603792402
10:14:30.871,125.2,125.552033201071
10:14:30.949,125.2,125.555382216276
10:14:31.029,124.4,124.630769071968
10:14:31.103,127.2,127.55974814875
10:14:31.170,124.0,126.62535848001
10:14:31.236,125.6,125.91781477012
10:14:31.304,125.2,125.958028902495
10:14:31.371,124.4,125.025685304537
10:14:31.438,120.8,124.820961675993
10:14:31.508,122.8,123.637797186427
10:14:31.586,121.6,125.779547299677
10:14:31.670,126.0,125.053418921125
10:14:31.759,121.6,127.686501265628
10:14:31.854,121.2,124.249312199905
10:14:31.955,136.4,127.118531478705
10:14:32.054,136.0,126.96704050871
10:14:32.150,136.0,125.872575732134
10:14:32.246,136.0,127.000579527577
10:14:32.344,136.0,128.00368730978
10:14:32.440,136.4,127.949199401584
10:14:32.536,136.0,128.96632616219
10:14:32.633,135.6,128.497444043048
10:14:32.730,136.0,128.34566095082
10:14:32.835,136.0,127.89614344716
10:14:32.948,136.0,128.678769184849
10:14:33.070,136.0,129.576061014481
10:14:33.187,136.0,127.573682999306
10:14:33.294,136.4,127.482435686571
10:14:33.401,135.6,129.361045707365
10:14:33.505,135.6,130.090669961361
10:14:33.606,136.0,127.572791253112
10:14:33.708,136.0,128.878011699547
10:14:33.812,136.0,128.170457398443
10:14:33.916,135.6,128.725005783028
10:14:34.022,136.4,128.455649250574
10:14:34.129,135.6,127.83993654526
10:14:34.232,136.4,128.516166534599
10:14:34.335,136.0,128.371919553437
10:14:34.436,136.0,126.32122902351
10:14:34.535,135.6,128.258294614116
10:14:34.632,122.8,122.137762167153
10:14:34.730,117.6,118.652526582731
10:14:34.829,120.8,120.204318229758
10:14:34.932,135.6,127.727076194755
10:14:35.035,136.0,128.395783529364
10:14:35.140,136.0,127.91704605071
10:14:35.240,136.0,126.931271436527
10:14:35.336,136.0,127.630437152202
10:14:35.435,136.0,128.172141524638
10:14:35.532,136.4,126.731582578175
10:14:35.627,136.0,127.374481890187
10:14:35.724,136.4,127.492652340817
10:14:35.821,121.6,123.154840385683
10:14:35.916,135.2,130.074196660417
10:14:36.002,117.2,121.884595036425
10:14:36.078,124.8,124.495606642234
10:14:36.148,124.0,124.580658975216
10:14:36.212,121.6,125.355989425796
10:14:36.274,122.0,125.932524069208
10:14:36.333,125.6,126.242006169491
10:14:36.392,127.2,127.291544341818
10:14:36.448,127.2,127.169120534779
10:14:36.506,127.2,126.802041345779
10:14:36.567,127.2,126.229289975857
10:14:36.629,127.2,126.116008750976
10:14:36.693,127.2,126.293347084927
10:14:36.758,126.8,126.112883363752
10:14:36.824,126.8,126.156876505377
10:14:36.890,125.6,125.947561205034
10:14:36.955,124.8,126.744759765336
10:14:37.020,127.2,127.505516596274
10:14:37.087,126.4,126.859424019046
10:14:37.157,126.8,127.173440887556
10:14:37.232,126.8,126.215846064044
10:14:37.316,126.4,126.715982200176
10:14:37.402,126.0,126.157892172254
10:14:38.524,123.2,123.614182519335
10:14:38.565,123.6,122.15823772443
10:14:38.611,123.6,123.796801230309
10:14:38.665,124.0,124.509783265163
10:14:38.726,124.4,124.778654302674
10:14:38.788,124.0,124.47213888989
10:14:38.853,126.0,125.086435797816
10:14:38.921,124.8,125.303612548804
10:14:38.995,124.8,125.167145216798
10:14:39.073,124.8,125.152883413632
10:14:39.155,126.0,124.905584806658
10:14:39.240,124.8,125.163334854249
10:14:54.338,122.4,122.775057490281
10:14:54.515,122.8,122.784770901444
10:14:54.527,122.0,121.79645631965
10:14:54.636,122.0,122.61248738857
10:14:54.720,121.6,121.217258750275
10:14:54.766,123.2,123.474456091887
10:14:54.903,124.0,124.047782194435
10:14:54.934,122.0,122.396952119618
10:14:55.051,123.6,124.095443961411
10:14:55.159,122.8,123.52055226587
10:14:55.199,124.0,124.50118416136
10:14:55.341,124.0,123.995296903294
10:14:55.361,122.8,123.880494648145
10:14:55.479,124.0,124.145683632894
10:14:55.569,124.8,125.162134926896
10:14:55.618,124.0,124.328309085345
10:14:55.761,124.8,124.740263920213
10:14:55.768,123.2,124.377939913932
10:14:55.906,123.6,124.385468931045
10:14:55.983,122.4,119.595830716918
10:14:56.054,124.8,124.888116515167
10:14:56.193,122.4,120.683431671023
10:14:56.197,124.4,124.451941741443
10:14:56.341,122.0,122.572119569767
10:14:56.355,124.4,124.689260446397
10:14:56.528,124.4,124.309621202465
10:14:56.528,124.8,124.919957276977
10:14:56.706,124.0,124.136030363056
10:14:56.725,124.8,124.779525065029
10:14:56.890,126.4,130.419044837392
10:14:56.898,122.8,123.45043448777
10:14:57.042,121.6,122.405850147902
10:14:57.097,122.8,122.649596621966
10:14:57.196,122.4,122.412957084372
10:14:57.326,123.2,123.897067925656
10:14:57.356,120.0,120.660369813649
10:14:57.499,122.8,123.123305275911
10:14:57.528,122.4,123.11103670957
